exec_time,objective,relative_gap
0.25,1.2919207006261928e6,0.025317752227496097
0.75,1.2878960591928903e6,0.002939095375328338
0.7969999313354492,1.2871744801439045e6,0.002377171271697498
0.8429999351501465,1.2862616220919997e6,0.0011579431276952786
1.0779998302459717,1.2862196265185215e6,0.0005411859152905796
1.1399998664855957,1.286196673702687e6,0.0005233310815579923
1.187000036239624,1.2861370010556476e6,0.00047691214982615546
1.2339999675750732,1.2860820184638724e6,0.00016164148263084357
1.2649998664855957,1.286073753071975e6,0.00014462108363500186
1.312000036239624,1.2860536502344077e6,9.14318836957612e-5
